id,pros,cons,meta_description
"cupra_formentor","Sportig SUV-coupé;Bra pris för prestanda;Attraktiv design;Rolig att köra","Okänt varumärke;Begränsad sikt bakåt;Trångt i baksätet;Inte premium-känsla",""
"dacia_duster","Extremt prisvärd;Rymlig;Robust;Ärlig bil","Inte 5 stjärnor NCAP;Billig känsla;Inte premium;Långsam",""
"dacia_jogger","7 säten till bästa pris;Hybridversion;Mycket utrymme;Robust","Mycket svag säkerhet (1 stjärna);Hård plast;Begränsade motorer;Bullrig",""
"dacia_sandero","Mycket bra pris;Praktisk;Bra utrymme för pengarna;Robust","Svag säkerhet (2 stjärnor);Hård plast;Begränsade motorer;Inget premium",""
"dacia_spring","Billigaste elbilen;Perfekt stadsbil;Låga driftskostnader;Enkel","1 stjärna NCAP;Långsam;Kort räckvidd;Billig känsla",""
"ds_ds7","Lyxig interiör;Unik design;Stark laddhybrid;Bekväm","Okänt varumärke;Begränsat servicenät;Osäkert andrahandsvärde;Inte sportig",""
"fiat_500","Ikonisk design;Lättkörd i stan;Cabriolet finns;Snål","Mycket trångt bak;Liten bagagelucka;Daterad teknik;Föråldrad säkerhet",""
"fiat_500e","Ikonisk design;Perfekt stadsbil;Kabriolet-version;Rolig att köra","Minimal bagage;Bara 4 sittplatser;Kort räckvidd;Inte för långa resor",""
"fiat_panda","Mycket bra pris;4x4-version finns;Lättkörd;Praktisk för storleken","0 stjärnor i NCAP;Daterad;Bullrig;Begränsad utrustning",""
"ford_puma","Rolig att köra;MegaBox i bagaget;Bra hybrid;Praktisk storlek","Bara framhjulsdrift;Trångt baksäte;Hård fjädring i ST;Plastigt interiör",""
"ford_kuga","Bra laddhybrid;Rymlig;Bekväm;Bra pris","Tråkig design;Inte sportig;Infotainment daterat;Inte premium",""
"ford_focus","Bäst att köra i klassen;Rolig och sportig;Bra köregenskaper;Bra pris","Utgående modell;Daterat infotainment;Inte premium;Bara FWD",""
"ford_focus_kombi","Stor bagageutrymme;Bäst att köra i kombi-klassen;Praktisk familjebil;Bra pris","Utgående modell;Daterat infotainment;Inte premium;Bara FWD",""
"ford_focus_st","280 hk turbomotor;Fantastisk körkänsla;Quaife-differentialspärr;Hot hatch-kung","Hög förbrukning;Hård fjädring;Utgående modell;Bara FWD",""
"ford_focus_st_kombi","Unik kombination sport+utrymme;280 hk;Stor bagageutrymme;Praktisk sportbil","Hög förbrukning;Hård fjädring;Utgående modell;Sällsynt",""
"ford_focus_rs","350 hk AWD;Drift-läge;Ikonisk hot hatch;Extremt rolig","Utgått ur produktion;Hård fjädring;Hög förbrukning;Begränsad praktikalitet",""
"ford_focus_vignale","Läderstoppning ingår;Mer lyxig interiör;Bra utrustningsnivå;Unik look","Dyrare än standard;Inte lika sportig som ST;Utgående;Begränsad marknadsandel",""
"ford_focus_vignale_kombi","Lyxig kombi;Stor bagageutrymme;Bra utrustning;Bekväm","Dyrare;Utgående;Bara FWD;Daterat infotainment",""
"ford_focus_active","Höjd chassi;Crossover-look;Bra för grusvägar;Praktisk","Inte äkta AWD;Bara FWD;Sämre körkänsla än standard;Nischprodukt",""
"ford_mustang_mach_e","Snygg design;Bra räckvidd;Rymlig;Ford-servicenät","Inte en riktig Mustang;Kvalitetsproblem rapporterade;Inte bäst att köra;Sjunkande andrahandsvärde",""
"ford_explorer","VW MEB-plattform;Rymlig;Bekväm;Bra pris","VW-teknik under;Inte sportig;Inte 5 stjärnor NCAP;Inte premium",""
"ford_mustang","Ikonisk design;V8-ljud;Cabriolet-version;Rolig att köra","Hög förbrukning;Dyr att äga;Trångt bak;Inte praktisk",""
"genesis_gv60","Lyxig interiör;Snabb laddning (800V);Unik design;Stark prestanda","Okänt märke;Begränsat servicenät;Osäkert andrahandsvärde;Lite bagage",""
"genesis_gv70","Extremt lyxig;Bra pris för utrustning;5 års garanti;Unik design","Okänt varumärke;Begränsat servicenät;Osäkert andrahandsvärde;Inte sportigast",""
"honda_civic","Utmärkt hybrid;Pålitlig;Snygg ny design;Låg förbrukning","Bara hybrid;Inte billigast;Inte sportig (utom Type R);Begränsade motorer",""
"honda_crv","Extremt rymlig;Pålitlig;Bra hybrid;Praktisk","Inte sportig;Design konservativ;Dyr;Inte premium",""
"honda_hrv","Magic Seats flexibla;Bränslesnål hybrid;Pålitlig;Praktisk","Endast FWD;Bullrig motor vid acceleration;Begränsat bagageutrymme;Inte sportig",""
"honda_zrv","Effektiv hybrid;Kompakt SUV;Honda-kvalitet;Snygg design","Begränsat bagageutrymme;Bara hybrid;Inte billigast;Okänd i Sverige",""
"hyundai_bayon","Praktisk crossover;Bra pris;5 års garanti;Mildhybrid","Endast FWD;Begränsade motorer;Inte premium;Hård plast",""
"hyundai_i10","Mycket bra pris;Lättkörd i stan;5 års garanti;Snål","Svag säkerhet;Trångt baksäte;Begränsade motorer;Bullrig vid hög fart",""
"hyundai_i20","Snygg design;Bra pris;5 års garanti;N-version stark","Endast bensin;Trångt baksäte;Inte premium;Hård plast",""
"hyundai_i30","Stort bagage i kombi;5 års garanti;Bra pris;N-version stark","Tråkig design;Endast FWD;Daterat infotainment;Inte premium",""
"hyundai_ioniq5","Unik retro-design;Ultrasnabb laddning;Rymlig interiör;5 års garanti","Polariserande design;Några plastytor;Laddare-anslutning bak;Inte bäst räckvidd",""
"hyundai_ioniq6","Bäst räckvidd i klassen (614 km);Aerodynamisk design;Snabb laddning;Bekväm att köra","Litet bagageutrymme;Trång i baksätet;Begränsad sikt;Polariserande design",""
"hyundai_kona","Ny och modern;Finns som elbil;5 års garanti;Bra pris","Design kan vara för mycket;Inte premium;Begränsat bagageutrymme;Inte sportig",""
"hyundai_santa_fe","Ny radikal design;7 sittplatser;Stark hybrid;Mycket utrustning","Polariserande design;Inte premium;Dyr;Ny - okänd pålitlighet",""
"hyundai_tucson","Vågad design;Bra hybrid;5 års garanti;Rymlig","Design polariserande;Inte premium;Inte sportigt;Infotainment kan lagga",""
"jaguar_ipace","Sportig elbil;Unik design;Bra att köra;Bra baspris begagnad","Föråldrad teknik;Kort räckvidd;Långsam laddning;Osäker framtid för märket",""
"jeep_avenger","Årets bil 2023;Snygg design;Kompakt;Finns som elbil","Bara framhjulsdrift;Inte riktig Jeep;Liten bagage;Stellantis-teknik",""
"kia_ceed","Stort bagageutrymme i SW;7 års garanti;Bra pris;Bra utrustning","Inte sportig;Endast FWD;Tråkig design;Daterat infotainment",""
"kia_ev6","Ultrasnabb laddning (18 min);Sportig design;7 års garanti;Bra att köra","Lite backkamera-beroende;Sämre synlighet bakåt;Dyr GT-version;Plastigt här och var",""
"kia_ev9","Enorm;7 riktiga sittplatser;800V-laddning;Imponerande teknik","Stor och tung;Dyr;Liten bagage med 7 säten;Ny - okänd pålitlighet",""
"kia_niro","Tre drivlinor;7 års garanti;Praktisk;Bra elbil-version","Bara framhjulsdrift;Inte sportigt;Design lite tråkig;Inte premium",""
"kia_picanto","Mycket bra pris;7 års garanti;Lättkörd i stan;Snål bensinmotor","Svag säkerhet;Trångt baksäte;Begränsad utrustning;Bullrig vid hög fart",""
"kia_sorento","7 sittplatser;7 års garanti;Stark laddhybrid;Mycket utrustning","Liten bagage med 7 säten;Inte premium;Inte sportig;Design börjar datera sig",""
"kia_sportage","Snygg design;Bra utrustning;7 års garanti;Rymlig","Inte premium;Inte sportig;Infotainment kan lagga;Design dateras snabbt",""
"kia_stonic","Bra pris;7 års garanti;Praktisk;Mildhybrid finns","Inte premium;Begränsad säkerhet;Endast FWD;Hård plast",""
"kia_xceed","Bra laddhybrid;7 års garanti;Snygg crossover;Bra utrustning","Endast FWD;Inte premium;Hård fjädring i sportpaket;Begränsade motorer",""
"land_rover_defender","Ikonisk design;Bäst offroad;Praktisk;Lyxig modern tolkning","Extremt dyr;Höga driftskostnader;Pålitlighet ifrågasatt;Tung",""
"land_rover_range_rover","Lyx i toppklass;Imponerande terräng-förmåga;7-sitsig version finns;Bra dragvikt","Mycket dyr;Pålitlighetsproblem rapporterade;Snabb värdeminskning;Hög förbrukning",""
"land_rover_range_rover_evoque","Snygg design;Premium-känsla;Bra terräng-förmåga;Bra laddhybrid","Pålitlighetsproblem rapporterade;Snabb värdeminskning;Dyra tillval;Trångt baksäte",""
"land_rover_range_rover_sport","Extremt lyxig;Sportslig för klassen;Imponerande teknik;Prestige","Extrem prislapp;Dyra tillval;Pålitlighet?;Hög förbrukning",""
"lexus_nx","Toyota-tillförlitlighet;Lyxig interiör;Tyst och bekväm;Stark laddhybrid","Inte sportig;Infotainment krångligt;Premium-pris;Inte bäst utrymme",""
"lexus_rx","Extrem tillförlitlighet;Lyxig och tyst;Bra hybridteknik;Utmärkt kundservice","Dyr;Inte sportig;Infotainment komplicerat;Inte bäst utrymme i klassen",""
"mazda_cx30","Premium-känsla;Snygg design;Bra köregenskaper;Mildhybrid effektiv","Endast bensin;Trångt baksäte;Inte särskilt sportig;Hård fjädring",""
"mazda_cx5","Rolig att köra;Premium-känsla;Bra kvalitet;Snygg design","Ingen elektrifiering;Infotainment basic;Lite trångt bak;Hög förbrukning",""
"mazda_cx60","Premium-ambition;Bakhjulsdrift-bas;Lyxig interiör;Snyggt designad","Kvalitetsproblem PHEV;Trång baksäte;Litet bagage;Dyr",""
"mazda_3","Bäst designad i klassen;Rolig att köra;Premium-känsla;Skyactiv-X motor","Trångt baksäte;Liten bagage;Dålig sikt;Ingen elektrifiering",""
"mazda_mx30","Unik design;Lyxig interiör;Tyst och bekväm;Freestyle-dörrar","Kort räckvidd (200 km);Freestyle-dörrar opraktiska;Liten bagage;Dyrt för räckvidden",""
"mazda_mx5","Klassisk roadster;Bäst i klassen att köra;Manuell växellåda;Lättviktskonstruktion","Endast 2 säten;Litet bagageutrymme;Trångt för långa;Bullrig på motorväg",""
"mercedes_a_class","Premium-interiör;MBUX är bäst i klassen;Bra laddhybrid;Många varianter","Trångt baksäte;Dyra tillval;Hård fjädring i AMG-Line;FWD i basversion",""
"mercedes_b_class","Praktisk familjebil;Hög sittställning;Premium-känsla;Bra laddhybrid","Tråkig design;Endast FWD;Dyra tillval;Inte sportig",""
"mercedes_c_class","Mini-S-Klass-känsla;Fantastisk interiör;MBUX-systemet;Tyst och bekväm","Bara 4-cylindriga motorer;Dyra tillval;Touchpaneler svåra att använda;Mindre sportig än BMW",""
"mercedes_cla","Snygg coupé-design;Modern interiör;Bra laddhybrid;AMG 45-version stark","Trångt bak och in/ut;Liten bagagelucka;Hård fjädring;Dyra tillval",""
"mercedes_cls","Vacker fyrdörrarscoupé;Lyxig interiör;Bra långfärdsbil;Stark 53 AMG","Sjunkande andrahandsvärde;Mindre rymlig än E-Klass;Dyr;Utgående modell",""
"mercedes_e_class","Extremt lyxig;MBUX Hyperscreen;Bekväm;Prestige","Dyr;Komplex teknik;Dyra tillval;Stor",""
"mercedes_eqa","Premium-känsla;MBUX intuitiv;Tyst gång;Bra finish","Liten bagageutrymme;Kort räckvidd jämfört med konkurrenter;Dyr;Tung",""
"mercedes_eqc","Premium-känsla;Tyst och bekväm;Bra säkerhet;Stark fyrhjulsdrift","Begränsad räckvidd;Långsam laddning;Hög vikt;Utgående modell",""
"mercedes_eqb","7 säten elektriskt;Praktisk familjebil;Premium-känsla;Bra utrustning","Kort räckvidd;Trångt på rad 3;Inte sportig;Dyr",""
"mercedes_eqe","Extremt bekväm;Lång räckvidd;Lyxig;Hyperscreen tillval","Dyr;Tråkig design;Liten bagage;Komplex teknik",""
"mercedes_eqs","Lång räckvidd (700+ km);Lyxig interiör;Hyperscreen;Tyst gång","Polariserande tvål-form;Mycket dyr;Snabb värdeminskning;Stor",""
"mercedes_eqs_suv","Ultimate lyx;7 sittplatser;Hyperscreen;Extrem komfort","Extrem prislapp;Stor och tung;Komplex;Dyra tillval",""
"mercedes_gla","Premium-känsla;Kompakt;Mercedes-kvalitet;AMG-varianter","Trångt bak;Dyr för storleken;Liten bagage;Dyra tillval",""
"mercedes_glb","7 säten i kompakt-SUV;Praktisk;Premium-känsla;Bra utrymme","Trångt på rad 3;Inte sportig;Dyra tillval;Tråkig design",""
"mercedes_glc","Lyxigaste interiören i klassen;Tyst och bekväm;MBUX-systemet imponerar;Stark laddhybrid (100+ km)","Dyrast i klassen;Stor touchskärm distraherar;Inte lika sportig som X3;Höga tillvalspriser",""
"mercedes_gle","Extremt bekväm;Mycket plats;Avancerad teknik;Starkt varumärke","Dyr i alla avseenden;Komplex att använda;Högt inköpspris;Känns tung",""
"mercedes_gls","Plats för 7 vuxna;Lyxig interiör;Mycket komfort;Stark motorerbjudande","Stor och otymplig;Hög förbrukning;Mycket dyr;Hård att parkera",""
"mercedes_s_class","Branschens lyx-referens;Avancerad teknik;Mjuk gång;Lång räckvidd som PHEV","Mycket dyr;Snabb värdeminskning;Komplext gränssnitt;Stor och tung",""
"mercedes_v_class","Plats för 8 personer;Enormt bagageutrymme;Premium-känsla;EQV-elversion","Stor och otymplig;Hög förbrukning;Dyr;Inte sportig",""
"mg_mg4","Extremt prisvärd;Överraskande bra att köra;Bra räckvidd;7 års garanti","Okänt varumärke;Osäkert andrahandsvärde;Plastigt interiör;Litet bagageutrymme",""
"mg_zs_ev","Billigaste el-SUV:en;Överraskande rymlig;7 års garanti;Bra grundutrustning","Billig känsla;Kort räckvidd;Långsam laddning;Osäkert andrahandsvärde",""
"mini_cooper","Rolig att köra;Ikonisk design;Premium-känsla;JCW-version stark","Trångt baksäte;Litet bagageutrymme;Hård fjädring;Dyra tillval",""
"mini_cooper_se","Go-kart-känsla;Ikonisk design;Premium-känsla;Rolig att köra","Liten och opraktisk;Dyr för storleken;Kort räckvidd;Liten bagage",""
"mini_countryman","MINI-känsla i större format;Finns som elbil;Premium-interiör;Rolig att köra","Dyr;Inte så rymlig;BMW-priser på tillval;Inte sportigast",""
"nio_el6","Batteribyte möjligt;Lyxig interiör;Bra teknik;Premium-känsla","Okänt märke;Begränsat bytesnätverk;Osäkert andrahandsvärde;Service osäker",""
"nissan_ariya","Snygg design;Bekväm;e-4ORCE AWD bra;Bra räckvidd","Långsam laddning;Inte sportigt;Begränsat servicenät;Okänd i Sverige",""
"nissan_juke","Polariserande design;Hybridversion;Praktisk crossover;Bra finish","Trångt baksäte;Endast FWD;Hård fjädring;Begränsad sikt bakåt",""
"nissan_leaf","Beprövad teknik;Bra pris begagnad;e-Pedal;Pålitlig","CHAdeMO-laddning;Begränsad räckvidd;Daterad design;Långsam laddning",""
"nissan_qashqai","Bra e-Power hybrid;Praktisk storlek;ProPilot bra;Rymlig","CVT-känsla;Inte premium;Infotainment basic;Design polariserande",""
"nissan_x_trail","7 sittplatser;e-Power effektiv;Rymlig;ProPilot","Inte sportig;CVT-känsla;Inte premium;Tredje raden trång",""
"opel_astra","Snygg ny design;Finns som elbil;Praktisk kombi;Bra pris","Inte 5 stjärnor NCAP;Inte premium;Stellantis-teknik;Okänt märke i Sverige",""
"opel_corsa","Bra elversion (Corsa-e);Snygg design;Bra pris;Lättkörd","Trångt baksäte;Begränsade motorer;Hård plast;Endast FWD",""
"opel_grandland","Bra laddhybrid;Praktisk;Bra utrustning;Modern infotainment","Inte sportig;Tråkig design;Hård plast;Begränsade motorer",""
"opel_mokka_e","Snygg design;Kompakt;Bra pris;Tysk kvalitet","Liten bagage;Inte 5 stjärnor NCAP;Begränsad räckvidd;Stellantis-teknik",""
"peugeot_2008","Snygg crossover-design;Bra elversion (e-2008);Modern interiör;Praktisk","i-Cockpit polariserar;Endast FWD;Trångt på huvudhöjd bak;Hård fjädring",""
"peugeot_208","Snygg design;Modern interiör;Bra elversion;i-Cockpit display","Litet ratt kan vara obekvämt;Trångt baksäte;Svaga motorer i bas;Begränsat bagageutrymme",""
"peugeot_3008","Snygg ny design;Finns som elbil (E-3008);i-Cockpit;Bekväm","Bara framhjulsdrift;i-Cockpit inte för alla;Inte premium;Kan vara trångt bak",""
"peugeot_308","Snygg design;Bra laddhybrid;SW-version (kombi);Premium-känsla","Endast FWD;i-Cockpit polariserar;Bullrig vid hög fart;Trångt på baksätet",""
"peugeot_5008","7 sittplatser;Finns som elbil;Snygg design;Praktisk","Bara framhjulsdrift;Tredje raden trång;Inte premium;Liten bagage med 7 säten",""
"peugeot_e_208","Snygg design;Rolig att köra;Kompakt;Bra räckvidd","Liten bagage;Trångt bak;Inte 5 stjärnor NCAP;i-Cockpit inte för alla",""
"peugeot_e_308","Snygg design;Praktisk kombi;Bra räckvidd;i-Cockpit","Begränsad räckvidd;Bara framhjulsdrift;Inte premium;Långsam laddning",""
"polestar_2","Skandinavisk design;Rolig att köra;Google-infotainment;Svensk support","Begränsat bagageutrymme;Inte bäst räckvidd;Sämre laddnätverk än Tesla;Höga tillvalspriser",""
"porsche_718_boxster","Mittenmotor ger perfekt balans;Cabriolet-upplevelse;Omedelbar styrrespons;Porsche-kvalitet","Mycket opraktisk;Dyr;Ingen baksäte;Dyra tillval",""
"porsche_718_cayman","Mittenmotor-coupe;Bäst i klassen att köra;Mer praktisk än Boxster;GT4-variant tillgänglig","Dyr;Ingen baksäte;Dyra tillval;Hög bränsleförbrukning",""
"porsche_718_spyder","Atmosfärisk 4.0L flat-six;Ultimat körupplevelse;Handmanövrerad växellåda;Exklusiv roadster","Extrem oupraktisk;Mycket dyr;Manuellt tak;Sällsynt service",""
"porsche_911","Sportbilsikon;Bäst i klassen att köra;Cabriolet och Targa finns;Behåller värde","Mycket dyr;Litet bagageutrymme;Trångt på baksätet;Dyra tillval",""
"porsche_cayenne","Sportbils-körupplevelse;Otrolig motor-lineup;Premium-kvalitet;Stark andrahandsmarknad","Extremt dyr;Dyra tillval;Hög bränsleförbrukning;Service kostar",""
"porsche_macan","Bäst i klassen att köra;Ny elversion 2024;Premium-känsla;Porsche-upplevelse","Dyr för kompakt-SUV;Trång i baksätet;Dyra tillval;Höga driftskostnader",""
"porsche_panamera","Sportbilskänsla i sedan;Stark Turbo S;Sport Turismo (kombi);Lyxig interiör","Mycket dyr;Snabb värdeminskning;Stor och tung;Dyra tillval",""
"porsche_taycan","Bäst körupplevelse bland elbilar;Unik design;800V-arkitektur;Porsche-kvalitet","Extremt dyr;Mindre räckvidd än Tesla;Trång baksäte;Dyra tillval",""
"renault_austral","Google-infotainment;Rymlig;Bra hybrid;Bekväm","Inte premium;Design lite anonym;Bara framhjulsdrift;Okänt varumärke i segmentet",""
"renault_captur","Bra E-Tech laddhybrid;Skjutbart baksäte;Snygg design;Praktisk","Endast FWD;CVT-låda kan tjuta;Hård plast i bas;Bullrig motor",""
"renault_clio","Bra hybridversion;Snygg design;Bra pris;Premium-känsla för segment","Trångt baksäte;Begränsade motorer;Endast FWD;CVT-låda kan tjuta",""
"renault_megane_e","Snygg design;Google-infotainment;Bra att köra;Kompakt","Begränsad räckvidd;Trångt bak;Liten bagage;Okänt andrahandsvärde",""
"renault_scenic_e","Årets bil 2024;Mycket rymlig;Bra räckvidd;Snabb laddning","Bara framhjulsdrift;Ny modell - okänd pålitlighet;Inte premium;Begränsat servicenät",""
"seat_arona","Bra pris;Praktisk crossover;Modern infotainment;Bra ekonomi","Endast bensin och FWD;Hård plast;Begränsade motorer;Inte premium",""
"seat_ateca","Bra köregenskaper;Praktisk;Bra pris;Sportigare design","Daterad design;Inte premium;Hård plast;Begränsad utrustning i bas",""
"seat_ibiza","Sportigare än Polo;Bra pris;Bra köregenskaper;Modern interiör","Endast bensin;Trångt baksäte;Hård plast;Begränsade motorer",""
"seat_leon","VW Golf-teknik billigare;Rymlig kombi;Bra att köra;Bra pris","Inte premium;Okänt varumärke;Standardutrustning basic;Sämre återförsäljarvärde",""
"skoda_enyaq","Bäst pris/utrymme i klassen;Praktiska Simply Clever-lösningar;Bekväm att köra;Bra VW-teknik under","Inte premium-känsla;VW-mjukvaruproblem;Inte så sportig;Plastigt här och var",""
"skoda_fabia","Stort bagage för segmentet;Bra säkerhet;Praktisk;Bra pris","Endast bensin;Inte sportig;Hård plast i interiör;Begränsade motorer",""
