"Märke","Modell","Kaross","Beskrivning","Drivmedel","Drivlina","Sittplatser","Styrkor","Svagheter","Passar för","Bättre alternativ"
"Audi","e-tron GT","Sedan","Audis sportiga el-GT, byggd på samma plattform som Porsche Taycan. En av marknadens snyggaste elbilar med hög komfort och stark prestanda. Begränsat bagage för storleken.","El","Fyrhjulsdrift","4","Extremt hög komfort och prestanda; Snygg design; Premium-känsla","Begränsat bagage; Mycket dyr; Tung","Den som vill ha snygg premium-EV; Föraren som söker karaktärsfull el-GT","for_korgladje: Porsche Taycan"
"BMW","1-serie","Halvkombi","Premiumkompakt med fokus på körkänsla. Senaste generationen är framhjulsdriven (utom M135i som har xDrive), vilket delar åsikter bland fans. Effektiva motorer och stilren design.","Bensin; Diesel; Mildhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Rolig att köra; Premiumkänsla; Effektiva motorer","Inte längre bakhjulsdriven; Trång bak; Dyrare än konkurrenter","Pendlaren som vill ha premium-vardag; Den som vill ha mindre BMW","for_utrymme: Audi A3 Sportback"
"BMW","1-serie M135i","Halvkombi","Snabb hot hatch med xDrive och premiumkänsla. Inte lika engagerande som äldre bakhjulsdrivna 1M men brutalt effektiv på alla underlag. Stark vinterbil.","Bensin","Fyrhjulsdrift","5","Fyrhjulsdrift året runt; Premiumkänsla; Stark prestanda","Mindre engagerande än bakhjulsdrivet; Dyr","Allroundföraren; Den som vill ha snabb premium-vardag","for_korgladje: Golf R"
"BMW","2-serie Gran Coupé","Sedan","Sportig kompakt premiumsedan med snygg coupé-look. Bygger på samma plattform som 1-serie och är framhjulsdriven. Mer designorienterad än fokuserad på körkänsla.","Bensin; Diesel","Tvåhjulsdrift; Fyrhjulsdrift","5","Snygg coupé-design; Bra teknik; Smidig storlek","Inte lika bakhjulsdriven känsla som äldre BMW; Trång bak","Den som vill ha snygg liten premiumsedan","for_korning: Audi A3 Sedan"
"BMW","3-serie Touring","Kombi","Klassisk premiumkombi med fokus på körkänsla. Bakhjulsdrift som standard, xDrive som tillval. En av få kombis där föraren är prioriterad. Praktisk för familj och långresa.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Körglädje; Bra balans sport och komfort; Praktisk kombi","Dyrare än konkurrenter; Hårdare än Volvo; Kostsam service","Föraren som vill ha familjebil; Tjänstebilsföraren","for_komfort: Volvo V60"
"BMW","4-serie Gran Coupé","Halvkombi","Designorienterad version av 3-serie med stor baklucka. Finns även som elektrisk i4. Bra balans mellan vardag och sport men begränsat huvudutrymme bak på grund av takprofilen.","Bensin; Diesel; Mildhybrid; El (i4)","Tvåhjulsdrift; Fyrhjulsdrift","5","Bra balans sport och vardag; Snygg design; Praktisk halvkombi","Begränsat huvudutrymme bak; Dyrare än 3-serie","Designorienterade förare; Den som vill ha snyggare 3-serie","for_komfort: Audi A5 Sportback"
"BMW","5-serie Touring","Kombi","Premiumkombi för långresor och tjänstebil. Fantastisk långfärdskomfort kombinerat med BMW:s körkänsla. Mycket dyr med utrustning.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Fantastisk långfärdskomfort; Bra balans körning och komfort; Stort bagage","Mycket dyr med utrustning; Dyr service","Långpendlare; Tjänstebilsföraren med körglädjekrav","for_varde: Skoda Superb Combi"
"BMW","6-serie GT","Halvkombi","Långfärdsfokuserad GT-bil med ovanlig high-roof-design. Mycket bagage och bra komfort men splittrad design som inte passar alla. Nischad nu när modellen utgår.","Bensin; Diesel; Mildhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Fantastisk komfort; Stort bagageutrymme; Praktisk höjd","Designen passar inte alla; Begränsad tillgänglighet","Långpendlare som vill ha utrymme; Den som värdesätter komfort över sport","for_klassisk_premium: 5-serie Touring"
"BMW","7-serie","Sedan","BMW:s flaggskepp och toppen av tysk premium. Extrem komfort och teknik, finns även som elektrisk i7. Tappar värde snabbt vilket gör begagnat intressant men dyrt att äga långsiktigt.","Bensin; Diesel; Mildhybrid; Laddhybrid; El (i7)","Tvåhjulsdrift; Fyrhjulsdrift","5","Extrem komfort och teknik; Lyxig kupé; Bra utrustning som standard","Mycket dyr långsiktigt; Stor och tung; Värdetapp","Den som värdesätter premium; Chaufförsdriven användning","for_diskret_lyx: Audi A8"
"BMW","i4","Halvkombi","BMW:s elektriska Gran Coupé. Behåller mycket av BMW:s körkänsla i elektrisk förpackning. Konkurrerar direkt med Tesla Model 3 och Polestar 2 men med mer premiumkänsla.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Premium-EV med körkänsla; Snygg design; Bra långfärdsbil","Mindre effektiv än Tesla; Begränsat bagage","Den som vill ha premium-EV; BMW-entusiasten som vill gå elektriskt","for_effektivitet: Tesla Model 3"
"BMW","i5","Sedan","Elektrisk version av 5-serien för tjänstebilsföraren. Fantastisk långfärdsbil och tekniknivå men tung och dyr med utrustning. Touring-versionen finns också.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Fantastisk långfärdsbil; Hög tekniknivå; Premium-känsla","Tung och dyr; Mindre effektiv än Tesla","Tjänstebilsföraren; Långpendlare som vill ha premium-EV","for_sportighet: Porsche Taycan"
"BMW","i7","Sedan","Elektrisk lyxlimousin med extrem komfort. Toppen av elektrisk lyx från BMW. Mycket dyr och tung men erbjuder oslagbar lugn på motorvägen.","El","Fyrhjulsdrift","5","Extrem komfort och teknik; Tyst kupé; Lyxig känsla","Mycket dyr; Stor och tung; Värdetapp","Den som värdesätter elektrisk lyx; Chaufförsdriven användning",""
"BMW","iX","SUV","BMW:s flaggskepp i el-SUV-klassen. Extrem komfort och teknik men kontroversiell design med stor njur-grill. En av marknadens bästa premium-elSUV:ar för långresor.","El","Fyrhjulsdrift","5","Extrem komfort; Hög tekniknivå; Bra långfärds-EV","Kontroversiell design; Dyr; Tung","Familjer som vill ha premium-EV; Långpendlare","for_diskret_design: Mercedes EQE SUV"
"BMW","iX1","SUV","Elektrisk version av X1 i kompakt premium-format. Bra balans mellan storlek, räckvidd och pris. Bygger på samma plattform som X1.","El","Fyrhjulsdrift","5","Premium-EV i kompakt format; Bra utrymme; Lätt att äga","Inte klassledande räckvidd; Begränsad effektivitet","Småfamiljen; Stadsboende som vill ha premium-EV","for_rackvidd: Tesla Model Y"
"BMW","X1","SUV","Kompakt premium-SUV som är populär som familjebil. Senaste generationen är rymligare än tidigare. xDrive25e som laddhybrid är populär för pendlare.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Enkel att leva med; Rymlig för storleken; Bra utrustningsnivå","Inte lika sportig som större BMW; Dyrare än volymmärken","Småfamiljen; Den som vill ha kompakt premium-SUV","for_komfort: Volvo XC40"
"BMW","X2","SUV","Sportigare och snyggare alternativ till X1 med coupé-tak. Mindre praktisk men mer designtyngd. Riktar sig mot förare utan stora familjebehov.","Bensin; Diesel; Mildhybrid; El","Tvåhjulsdrift; Fyrhjulsdrift","5","Snyggare design än X1; Sportigare känsla","Mindre praktisk än X1; Lägre takhöjd bak","Den som vill ha designtyngd kompakt-SUV","for_familj: BMW X1"
"BMW","X3","SUV","Klassisk mellansegment premium-SUV med fokus på körkänsla. Bäst i klassen att köra och bra som familjebil. Konkurrerar direkt med Audi Q5 och Mercedes GLC.","Bensin; Diesel; Mildhybrid; Laddhybrid; El","Fyrhjulsdrift","5","Mycket bra att köra för SUV; Bra balans sport och familj; Bred motorflora","Dyrare drift än volymmärken; Mindre tyst än Audi","Familjeföraren som vill ha körkänsla; Tjänstebilsföraren","for_komfort: Audi Q5"
"BMW","X4","SUV","Coupé-version av X3 med tonad takprofil. Mindre praktisk men sportigare design. Mindre bagage och baksäte än X3.","Bensin; Diesel; Mildhybrid","Fyrhjulsdrift","5","Sportigare design än X3; Bra balans komfort och prestanda","Mindre praktisk än X3; Lägre takhöjd bak","Den som vill ha designtyngd SUV","for_familj: BMW X3"
"BMW","X5","SUV","Stor premium-SUV och en av segmentets klassiker. Mycket bekväm långfärdsbil och stark dragbil. Finns som diesel, laddhybrid och bensin. Modeller med luftfjädring kan bli dyra att reparera.","Bensin; Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Premiumkomfort; Stark dragbil; Bra långfärdsbil","Dyr drift; Luftfjädring kan bli dyr på sikt; Stor i stad","Långpendlare; Familjer med släp/husvagn; Den som värdesätter premium","for_sakerhet: Volvo XC90"
"BMW","X6","SUV","Sportig coupé-SUV med stark närvaro. Mindre praktisk än X5 men med distinkt design. Vänder sig till förare som prioriterar utseende.","Bensin; Diesel; Mildhybrid","Fyrhjulsdrift","5","Stark närvaro; Bekväm långfärdsbil; Sportig design","Mindre praktisk än X5; Tung; Dyr","Den som vill ha SUV med uppmärksamhet","for_familj: BMW X5"
"BMW","X7","SUV","BMW:s största SUV med sju säten. Konkurrerar med Mercedes GLS och Audi Q7. Extrem komfort och tekniknivå men stor och tung i stadsmiljö.","Bensin; Diesel; Mildhybrid","Fyrhjulsdrift","7","Extrem komfort; Sju säten; Hög tekniknivå","Mycket stor; Hög förbrukning; Dyr","Storfamiljen; Den som drar släp","for_diskret: Mercedes GLS"
"BMW","XM","SUV","Extrem hybrid-SUV och BMW:s mest exklusiva SUV. Label Red är toppversionen. Mycket kraft och lyx men kontroversiell design och mycket dyr.","Laddhybrid","Fyrhjulsdrift","5","Brutal kraft; Lyxig interiör; Unik design","Mycket tung och dyr; Polariserande design; Begränsad praktisk användning","Entusiasten som vill ha mest BMW; Den som söker exklusivitet","for_korning: Porsche Cayenne Turbo"
"BMW","Z4","Cabriolet","Öppen sportbil för sommarkörning. M40i har fantastisk rak sexa och bra körkänsla. Opraktisk som vardagsbil och delar plattform med Toyota Supra.","Bensin","Tvåhjulsdrift","2","Fantastisk rak sexa (M40i); Bra körkänsla; Öppen cabriolet-känsla","Opraktisk; Litet bagage; Endast två säten","Sommarbilen; Entusiasten med extra bil","for_precision: Porsche Boxster"
"BMW","M2","Coupé","Kompakt bakhjulsdriven sportbil och en av få M-modeller med manuell låda. Brutal balans och körkänsla i ett relativt litet paket. Vassare och billigare än M4.","Bensin","Tvåhjulsdrift","4","Bakhjulsdrift; Manuell låda finns; Brutal körkänsla","Hård fjädring; Begränsat baksäte; Hög förbrukning","Entusiasten som vill ha bakhjulsdriven sportbil","for_precision: Porsche Cayman"
"BMW","M4","Coupé","Brutal sportcoupé som klarar både vardag och bana. Competition xDrive är vanligaste valet. Mer komfortabel än M2 men dyrare att äga.","Bensin","Tvåhjulsdrift; Fyrhjulsdrift","4","Fantastisk komfort för sportbil; Stark prestanda; Bredd i användning","Hög försäkring; Dyr drift; Polariserande grill-design","Entusiasten som vill ha vardags-sportbil; Den som vill ha en bil för allt","for_precision: Porsche 911"
"BYD","Atto 3","SUV","Kompakt el-SUV från kinesiska BYD. Mycket utrustning för priset men medioker körupplevelse och svag premiumkänsla. Återförsäljarnätet växer men är fortfarande begränsat i Sverige.","El","Tvåhjulsdrift","5","Prisvärd; Mycket utrustning; Lång garanti","Medioker körupplevelse; Svag premiumkänsla; Begränsat återförsäljarnät","Den som vill ha mycket EV för pengarna; Familjer med strikt budget","for_korkansla: Kia EV3"
"BYD","Seal","Sedan","El-sedan som riktar sig mot Tesla Model 3 till lägre pris. Bra prestanda för pengarna men mjukvaran känns inte lika mogen som hos etablerade märken.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Lång räckvidd; Mycket prestanda för pengarna; Modern teknik","Okänt andrahandsvärde; Mjuk styrning; Mjukvara inte bäst","Den som vill ha mycket EV för pengarna; Förare som söker alternativ till Tesla","for_premium: BMW i4"
"BYD","Dolphin","Halvkombi","Billig elbil för stad och vardag. Comfort-versionen är mest prisvärd. Mycket utrustning för låg kostnad men begränsad premiumkänsla och ljudisolering.","El","Tvåhjulsdrift","5","Mycket utrustning för låg kostnad; Lätt att äga; Bra stadsbil","Begränsad ljudisolering; Svag premiumkänsla","Stadsboende med EV-behov; Pendlare med kort sträcka","for_korgladje: MG4"
"BYD","Han","Sedan","Lyxig el-sedan till aggressivt pris. Mycket utrustning och kraft men svagt premiumrykte i Europa än så länge. Konkurrerar prismässigt mot mellansegmentet men erbjuder lyx-format.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket utrustning och kraft; Lyxig kupé för priset; Modern teknik","Svagt premiumrykte i Europa; Begränsat servicenät; Okänt andrahandsvärde","Den som vill ha lyxig EV till lägre pris","for_premium: BMW i5"
"BYD","Tang","SUV","Stor el-SUV med sju säten. Mycket utrustning för priset men hög förbrukning på motorväg och okänt långsiktigt värde i Europa.","El","Fyrhjulsdrift","7","Sju säten; Mycket utrustning; Prisvärd","Hög motorvägs-förbrukning; Begränsat servicenät; Tung","Storfamiljen med EV-behov","for_premium: Kia EV9"
"BYD","Yuan Plus","SUV","Kompakt el-SUV även känd som Atto 3 i vissa marknader. Mycket utrustning för priset men svag premiumkänsla.","El","Tvåhjulsdrift","5","Mycket utrustning för priset; Bra räckvidd","Svag premiumkänsla; Begränsat återförsäljarnät","Den som vill ha billig el-SUV","for_kvalitet: Hyundai Kona Electric"
"Citroën","Berlingo","Familjevan","Praktisk familje- och arbetsbil. Finns även som elektrisk (e-Berlingo). Mycket utrymme och flexibel inredning men inte särskilt fokuserad på körkänsla.","Bensin; Diesel; El","Tvåhjulsdrift","5","Mycket utrymme; Flexibel inredning; Prisvärd","Inte premium; Mer transportbil än personbil","Aktiva familjer; Hundägare; Hantverkare",""
"Citroën","C3 Aircross","SUV","Liten mjuk familjecrossover med fokus på komfort. Citroëns Advanced Comfort-suspension ger ovanligt mjuk gång. Inte särskilt dynamisk att köra.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift","5","Bekväm i låg fart; Mjuk fjädring; Prisvärd","Inte särskilt dynamisk; Lågt premiuminnehåll","Den som värdesätter komfort över sport; Stadspendlare","for_design: Peugeot 2008"
"Citroën","C5 Aircross","SUV","Familje-SUV med tydligt komfortfokus. Mjuk fjädring och bekväma säten gör den till en avslappnad långfärdsbil. Inte särskilt inspirerande att köra.","Bensin; Laddhybrid","Tvåhjulsdrift","5","Väldigt mjuk fjädring; Bekväma säten; Bra långfärdsbil","Inte särskilt inspirerande att köra; Anonym design","Familjer som värdesätter komfort; Långpendlare","for_design: Peugeot 3008"
"Citroën","e-C4","Halvkombi","Elektrisk halvkombi med mjuk komfort. Bra stadsbil men begränsad räckvidd för långresor. Senaste generationen har förbättrats men hänger fortfarande efter klassledare.","El; Bensin; Mildhybrid","Tvåhjulsdrift","5","Mjuk komfort; Bekväma säten; Bekväm i stad","Begränsad räckvidd; Mindre effektiv än rivaler","Stadsboende; Pendlare med kort sträcka","for_effektivitet: MG4"
"Citroën","SpaceTourer","Familjevan","Stor familje- eller shuttlebil med plats för många passagerare. Mycket utrymme och komfort men stor och klumpig i stadsmiljö.","Diesel; El","Tvåhjulsdrift","9","Mycket plats och komfort; Bra för stora familjer; Flexibel inredning","Stor och klumpig i stad; Hög förbrukning","Storfamiljen; Shuttle- eller taxi-användning","for_premium: Mercedes V-klass"
"Cupra","Born","Halvkombi","Sportigare elbil baserad på samma plattform som VW ID.3. Mer fokus på design och körkänsla. Mjukvaran har haft vissa barnsjukdomar.","El","Tvåhjulsdrift","5","Sportig design och känsla; Roligare än ID.3; Bra räckvidd","Inte lika praktisk som SUV-rivaler; Mjukvarubuggar tidigare","Den som vill ha sportig el-vardagsbil","for_komfort: Volkswagen ID.3"
"Cupra","Formentor","SUV","Sportig kompakt-SUV med expressiv design. VZ-versionerna är roligast med stark prestanda. Begränsad sikt bakåt och fast komfort i hård utrustning.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Sportig design; Bra köregenskaper; AWD finns","Begränsad sikt bakåt; Fast komfort i sportversioner; Dyr i hög utrustning","Sportiga föraren; Den som vill ha annorlunda SUV",""
"Cupra","Leon","Halvkombi/Kombi","Sportigare Golf-alternativ från Seats prestandamärke. VZ-versionen ger riktig hot-hatch-känsla. Finns som halvkombi och kombi.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift","5","Rolig att köra; Snygg design; Bra prestanda","Fast komfort; Enklare interiör än VW","Sportiga föraren med vardagsbehov","for_premium: Audi A3"
"Cupra","Ateca","SUV","Sportigare version av Seat Ateca med starkare motor. VZ-versionen är roligare än de flesta SUV:ar att köra. Börjar kännas äldre invändigt.","Bensin","Fyrhjulsdrift","5","Roligare att köra än de flesta SUV:ar; Bra prestanda; AWD som standard i VZ","Börjar kännas äldre invändigt; Begränsad utbud","Sportiga föraren som vill ha SUV","for_premium: BMW X2 M35i"
"Cupra","Terramar","SUV","Sportigare alternativ till VW Tiguan. Snygg design och bra teknik men dyrare än vanliga Seat-modeller.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Snygg design; Bra teknik; Sportig karaktär","Dyrare än vanliga Seat-modeller","Den som vill ha sportig familje-SUV","for_premium: Audi Q5"
"Cupra","Tavascan","SUV","Sportig el-SUV som bygger på samma plattform som VW ID.4 men med mer karaktär. Roligare än många VW-elbilar men begränsat bagage mot vissa rivaler.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Sportig karaktär; Bra teknik; Roligare än VW-syskon","Begränsat bagage mot vissa rivaler","Den som vill ha sportig el-SUV","for_komfort: Skoda Enyaq"
"Dacia","Sandero","Halvkombi","Marknadens billigaste nya bil. Stepway-versionen har crossover-look. Mycket bil för pengarna men ingen premiumkänsla alls.","Bensin; Mildhybrid; LPG","Tvåhjulsdrift","5","Mycket låg ägandekostnad; Praktisk för storleken; Bra garanti","Ingen premiumkänsla; Enklare säkerhetspaket","Förstabilskunden; Budgetmedvetna familjer","for_kvalitet: Toyota Yaris"
"Dacia","Duster","SUV","Billig SUV med riktig terrängkapacitet i AWD-version. Robust och prisvärd men enkel interiör och låg premiumkänsla.","Bensin; Mildhybrid; LPG","Tvåhjulsdrift; Fyrhjulsdrift","5","Robust; Prisvärd; Riktig AWD-kapacitet","Enkel interiör; Låg premiumkänsla; Bullrigare än rivaler","Den som vill ha SUV på en budget; Lantbruksanvändning","for_komfort: Suzuki Vitara"
