Marke,Modell,Drivmedel,Pris_SEK,Uppskattad
Kia,Kia Optima SW,"Bensin, Laddhybrid",~350 000 – 450 000,ja
Kia,Kia Picanto,Bensin,~150 000 – 200 000,ja
Kia,Kia ProCeed,Bensin,~300 000 – 400 000,ja
Kia,Kia PV5,El,~500 000 – 600 000,ja
Kia,Kia Rio,Bensin,~200 000 – 300 000,ja
Kia,Kia Sorento,"Bensin, Laddhybrid",~500 000 – 600 000,ja
Kia,Kia Soul,El,~300 000 – 400 000,ja
Kia,Kia Sportage,"Bensin, Laddhybrid",~350 000 – 450 000,ja
Kia,Kia Stinger,Bensin,~500 000 – 600 000,ja
Kia,Kia Stonic,Bensin,från 266 900,nej
Kia,Kia XCeed,"Bensin, Laddhybrid",~300 000 – 400 000,ja
Lamborghini,Lamborghini Aventador SVJ,Bensin,~8 000 000 – 10 000 000,ja
Lamborghini,Lamborghini Huracan,Bensin,~3 000 000 – 5 000 000,ja
Lamborghini,Lamborghini Revuelto,"Bensin, Laddhybrid",~5 000 000 – 7 000 000,ja
Lamborghini,Lamborghini Urus,Bensin,från 3 699 000,nej
Land Rover,Land Rover Defender,"Bensin, Diesel, Laddhybrid",1 177 600 – 2 399 000,nej
Land Rover,Land Rover Discovery Sport,Diesel,~500 000 – 600 000,ja
Land Rover,Land Rover Range Rover,Diesel,~1 500 000 – 2 500 000,ja
Land Rover,Land Rover Range Rover Evoque,"Bensin, Laddhybrid",~600 000 – 800 000,ja
Land Rover,Land Rover Range Rover Sport,"Bensin, Laddhybrid",~1 000 000 – 1 500 000,ja
Land Rover,Land Rover Range Rover Velar,Diesel,~700 000 – 900 000,ja
Lexus,Lexus CT,Bensin (Hybrid),~300 000 – 400 000,ja
Lexus,Lexus ES,Bensin (Hybrid),~400 000 – 500 000,ja
Lexus,Lexus GS,Bensin (Hybrid),~500 000 – 600 000,ja
Lexus,Lexus IS,Bensin (Hybrid),~400 000 – 500 000,ja
Lexus,Lexus LC,Bensin (Hybrid),~1 000 000 – 1 500 000,ja
Lexus,Lexus LM,Bensin (Hybrid),~1 000 000 – 1 200 000,ja
Lexus,Lexus LS,Bensin (Hybrid),~1 000 000 – 1 500 000,ja
Lexus,Lexus NX,Bensin (Hybrid/Laddhybrid),471 200 – 679 000,nej
Lexus,Lexus RC,Bensin (Hybrid),~500 000 – 600 000,ja
Lexus,Lexus RX,Bensin (Hybrid),~500 000 – 700 000,ja
Lexus,Lexus UX,Bensin (Hybrid),~400 000 – 500 000,ja
Mazda,Mazda CX-30,Bensin,~332 600 – 397 600,ja
Mazda,Mazda CX-5,"Bensin, Diesel",369 900 – 453 400,nej
Mazda,Mazda CX-60,"Bensin, Diesel, Laddhybrid",529 000 – 659 900,nej
Mazda,Mazda Mazda3,Bensin,~250 000 – 300 000,ja
Mazda,Mazda MX-30,El,~300 000 – 400 000,ja
Mazda,Mazda MX-5,Bensin,~300 000 – 400 000,ja
Mercedes-Benz,Mercedes-Benz A-Klass,"Bensin, Diesel, Laddhybrid",414 000 – 478 000,nej
Mercedes-Benz,Mercedes-Benz A45 AMG,Bensin,~600 000 – 700 000,ja
Mercedes-Benz,Mercedes-Benz AMG CLE 53,Bensin,~800 000 – 900 000,ja
Mercedes-Benz,Mercedes-Benz B-Klass,Bensin,~300 000 – 400 000,ja
Mercedes-Benz,Mercedes-Benz C-Klass,"Bensin, Diesel, Laddhybrid",från 589 000,nej
Mercedes-Benz,Mercedes-Benz C-Klass Kombi,"Bensin, Laddhybrid",~600 000 – 700 000,ja
Mercedes-Benz,Mercedes-Benz CLA,"Bensin, Diesel, El",från 615 000,nej
Mercedes-Benz,Mercedes-Benz CLA Electric,El,~500 000 – 600 000,ja
Mercedes-Benz,Mercedes-Benz CLE Cabriolet,Bensin,~700 000 – 800 000,ja
Mercedes-Benz,Mercedes-Benz CLE Coupe,Bensin,~700 000 – 800 000,ja
Mercedes-Benz,Mercedes-Benz CLS,Diesel,~700 000 – 900 000,ja
Mercedes-Benz,Mercedes-Benz E-Klass,"Bensin, Diesel, Laddhybrid",~500 000 – 700 000,ja
Mercedes-Benz,Mercedes-Benz E-Klass Coupe,Bensin,~600 000 – 800 000,ja
Mercedes-Benz,Mercedes-Benz E-Klass Kombi,"Bensin, Laddhybrid",~600 000 – 700 000,ja
Mercedes-Benz,Mercedes-Benz EQA,El,~429 000,ja
Mercedes-Benz,Mercedes-Benz EQB,El,från 619 000,nej
Mercedes-Benz,Mercedes-Benz EQC,El,~600 000 – 700 000,ja
Mercedes-Benz,Mercedes-Benz EQE,El,~700 000 – 900 000,ja
Mercedes-Benz,Mercedes-Benz EQE SUV,El,~800 000 – 1 000 000,ja
Mercedes-Benz,Mercedes-Benz EQS SUV,El,~1 000 000 – 1 200 000,ja
Mercedes-Benz,Mercedes-Benz G-Class Electric,El,~2 000 000 – 2 500 000,ja
Mercedes-Benz,Mercedes-Benz G-Klass,Bensin,~1 500 000 – 2 000 000,ja
Mercedes-Benz,Mercedes-Benz GLA,"Bensin, Diesel",~400 000 – 500 000,ja
Mercedes-Benz,Mercedes-Benz GLB,"Bensin, Diesel, El",från 619 000,nej
Mercedes-Benz,Mercedes-Benz GLB Electric,El,~600 000 – 700 000,ja
Mercedes-Benz,Mercedes-Benz GLC,"Bensin, Diesel, Laddhybrid",~600 000 – 800 000,ja
Mercedes-Benz,Mercedes-Benz GLC Coupe,"Bensin, Laddhybrid",~700 000 – 900 000,ja
Mercedes-Benz,Mercedes-Benz GLC Electric,El,~700 000 – 800 000,ja
Mercedes-Benz,Mercedes-Benz GLE,"Bensin, Diesel, Laddhybrid",~800 000 – 1 000 000,ja
Mercedes-Benz,Mercedes-Benz GLS,Diesel,~1 000 000 – 1 500 000,ja
Mercedes-Benz,Mercedes-Benz S-Klass,"Bensin, Laddhybrid",från 1 586 200,nej
Mercedes-Benz,Mercedes-Benz V-Klass,Diesel,~900 000 – 1 000 000,ja
Mercedes-Benz,Mercedes-Benz VLE,El,från 947 700,nej
MG,MG 4,El,299 990 – 349 990,nej
MG,MG ZS EV,El,439 000 – 543 000,nej
MINI,MINI 5-door,Bensin,~250 000 – 300 000,ja
MINI,MINI Convertible,Bensin,~300 000 – 400 000,ja
MINI,MINI Cooper,El,~300 000 – 400 000,ja
MINI,MINI Countryman,"Bensin, El",363 600 – 615 600,nej
MINI,MINI JCW,Bensin,~400 000 – 500 000,ja
Nissan,Nissan Ariya,El,från 382 500,nej
Nissan,Nissan Interstar,Diesel,~500 000 – 600 000,ja
Nissan,Nissan Juke,"Bensin, Laddhybrid",~300 000 – 400 000,ja
Nissan,Nissan Leaf,El,429 900 – 499 900,nej
Nissan,Nissan Qashqai,"Bensin, Laddhybrid",från 574 562,nej
Nissan,Nissan Townstar,El,~300 000 – 400 000,ja
Nissan,Nissan X-Trail,"Bensin, Laddhybrid",~400 000 – 500 000,ja
Opel,Opel Astra,"Bensin, Laddhybrid",~300 000 – 400 000,ja
Opel,Opel Corsa,"Bensin, El",från 299 900,nej
Opel,Opel Crossland,Bensin,~250 000 – 300 000,ja
Opel,Opel Grandland,"Bensin, Laddhybrid, El",399 900 – 480 780,nej
Opel,Opel Mokka-e,El,~300 000 – 400 000,ja
Peugeot,Peugeot 208 / e-208,"Bensin, El",från 199 900 / ~300 000,ja
Peugeot,Peugeot 2008 / e-2008,"Bensin, El",~300 000 – 400 000,ja
Peugeot,Peugeot 308 / e-308,"Bensin, Laddhybrid, El",~300 000 – 400 000,ja
Peugeot,Peugeot 3008 / e-3008,"Bensin, Laddhybrid, El",399 900 – 479 900,nej
Peugeot,Peugeot 408 / e-408,"Bensin, Laddhybrid, El",~400 000 – 500 000,ja
Peugeot,Peugeot 5008 / e-5008,"Bensin, Laddhybrid, El",~400 000 – 500 000,ja
Peugeot,Peugeot 508 / 508 SW,"Bensin, Laddhybrid",~400 000 – 500 000,ja
Peugeot,Peugeot Boxer,Diesel,~500 000 – 600 000,ja
Peugeot,Peugeot Expert,Diesel,~400 000 – 500 000,ja
Peugeot,Peugeot Partner,Diesel,~300 000 – 400 000,ja
Peugeot,Peugeot Rifter,Bensin,~300 000 – 400 000,ja
Peugeot,Peugeot Traveller,Diesel,~400 000 – 500 000,ja
Polestar,Polestar 2,El,534 900 – 594 900,nej
Polestar,Polestar 3,El,~800 000 – 900 000,ja
Polestar,Polestar 4,El,från 692 000,nej
Polestar,Polestar 5,El,~1 000 000 – 1 200 000,ja
Porsche,Porsche 718 Boxster,Bensin,~700 000 – 900 000,ja
Porsche,Porsche 718 Cayman,Bensin,~700 000 – 900 000,ja
Porsche,Porsche 718 Spyder,Bensin,~800 000 – 1 000 000,ja
Porsche,Porsche 911,Bensin,~1 000 000 – 2 000 000,ja
Porsche,Porsche Cayenne,"Bensin, Laddhybrid",~1 000 000 – 1 500 000,ja
Porsche,Porsche Macan,El,~1 000 000 – 1 200 000,ja
Porsche,Porsche Panamera,"Bensin, Laddhybrid",~1 000 000 – 1 500 000,ja
Porsche,Porsche Taycan,El,~1 000 000 – 1 500 000,ja
Renault,Renault 4 E-Tech,El,~300 000 – 400 000,ja
Renault,Renault 5 E-Tech,El,~300 000 – 400 000,ja
Renault,Renault Arkana,"Bensin, Laddhybrid",~300 000 – 400 000,ja
Renault,Renault Austral,"Bensin, Laddhybrid",~350 000 – 450 000,ja
Renault,Renault Captur,"Bensin, Laddhybrid",~250 000 – 350 000,ja
Renault,Renault Clio,"Bensin, Laddhybrid",från 299 900,nej
Renault,Renault Grand Scenic,Bensin,~350 000 – 450 000,ja
Renault,Renault Kadjar,Bensin,~250 000 – 350 000,ja
Renault,Renault Kangoo,Diesel,~300 000 – 400 000,ja
Renault,Renault Koleos,Diesel,~350 000 – 450 000,ja
Renault,Renault Master,Diesel,~500 000 – 600 000,ja
Renault,Renault Megane E-Tech,El,~400 000 – 500 000,ja
Renault,Renault Megane RS,Bensin,~400 000 – 500 000,ja
Renault,Renault Megane Sport Tourer,Bensin,~300 000 – 400 000,ja
Renault,Renault Scenic,El,419 900 – 599 900,nej
Renault,Renault Trafic,Diesel,~400 000 – 500 000,ja
Renault,Renault Twingo,Bensin,~150 000 – 200 000,ja
Renault,Renault Zoe,El,~200 000 – 300 000,ja
Seat,Seat Alhambra,Diesel,~400 000 – 500 000,ja
Seat,Seat Ateca,Bensin,från 409 900,nej
Seat,Seat Ibiza,Bensin,~200 000 – 300 000,ja
Seat,Seat Leon,Bensin,~250 000 – 350 000,ja
Seat,Seat Mii,El,~200 000 – 300 000,ja
Seat,Seat Tarraco,"Bensin, Laddhybrid",~400 000 – 500 000,ja
Seat,Seat Toledo,Bensin,~250 000 – 300 000,ja
Skoda,Skoda Citigo,Bensin,~150 000 – 200 000,ja
Skoda,Skoda Enyaq,El,529 900 – 679 800,nej
Skoda,Skoda Fabia,Bensin,från 278 900,nej
Skoda,Skoda Kamiq,Bensin,~250 000 – 300 000,ja
Skoda,Skoda Karoq,"Bensin, Diesel",~300 000 – 400 000,ja
Skoda,Skoda Kodiaq,"Bensin, Diesel, Laddhybrid",~400 000 – 500 000,ja
Skoda,Skoda Octavia,"Bensin, Diesel, Laddhybrid",339 000 – 499 900,nej
Skoda,Skoda Octavia Combi,Bensin,~300 000 – 400 000,ja
Skoda,Skoda Roomster,Bensin,~200 000 – 300 000,ja
Skoda,Skoda Superb,"Bensin, Diesel, Laddhybrid",~400 000 – 500 000,ja
Skoda,Skoda Superb Combi,"Bensin, Laddhybrid",~400 000 – 500 000,ja
Skoda,Skoda Yeti,Bensin,~250 000 – 300 000,ja
smart,smart #1,El,517 410 – 548 700,nej
Subaru,Subaru Uncharted,El,~400 000 – 500 000,ja
Suzuki,Suzuki Across,"Bensin, Laddhybrid",~500 000 – 600 000,ja
Suzuki,Suzuki Alto,Bensin,~150 000 – 200 000,ja
Suzuki,Suzuki Baleno,Bensin,~150 000 – 200 000,ja
Suzuki,Suzuki Celerio,Bensin,~150 000 – 200 000,ja
Suzuki,Suzuki Jimny,Bensin,~250 000 – 300 000,ja
Suzuki,Suzuki S-Cross,"Bensin, Laddhybrid",~250 000 – 350 000,ja
Suzuki,Suzuki Swace,Bensin (Hybrid),~300 000 – 400 000,ja
Suzuki,Suzuki Swift,Bensin (Hybrid),~200 000 – 300 000,ja
Suzuki,Suzuki SX4,Bensin,~250 000 – 300 000,ja
Suzuki,Suzuki Vitara,"Bensin, Laddhybrid",296 800 – 339 900,nej
Tesla,Tesla Model 3,El,från 449 990,nej
Tesla,Tesla Model S,El,~1 000 000 – 1 200 000,ja
Tesla,Tesla Model X,El,~1 000 000 – 1 200 000,ja
Tesla,Tesla Model Y,El,från 449 990,nej
Toyota,Toyota Aygo X,Bensin,~200 000 – 250 000,ja
Toyota,Toyota bZ4X,El,från 564 900,nej
Toyota,Toyota C-HR,Bensin (Hybrid),från 469 900,nej
Toyota,Toyota Corolla Hybrid,Bensin (Hybrid),~300 000 – 350 000,ja
Toyota,Toyota Corolla Touring Sports,Bensin (Hybrid),~300 000 – 350 000,ja
Toyota,Toyota GR Yaris,Bensin,~400 000 – 500 000,ja
Toyota,Toyota Highlander,Bensin (Hybrid),~500 000 – 600 000,ja
Toyota,Toyota Hilux,Diesel,497 400 – 849 800,nej
Toyota,Toyota Land Cruiser,Diesel,~800 000 – 1 000 000,ja
Toyota,Toyota Prius,Bensin (Hybrid),~350 000 – 450 000,ja
Toyota,Toyota ProAce,Diesel,~400 000 – 500 000,ja
Toyota,Toyota ProAce City,Diesel,~300 000 – 400 000,ja
Toyota,Toyota ProAce City Verso,Diesel,~300 000 – 400 000,ja
Toyota,Toyota ProAce Verso,Diesel,~400 000 – 500 000,ja
Toyota,Toyota RAV4,Bensin (Hybrid/Laddhybrid),419 900 – 626 800,nej
Toyota,Toyota Supra,Bensin,~600 000 – 700 000,ja
Toyota,Toyota Urban Cruiser,El,~400 000 – 500 000,ja
Toyota,Toyota Yaris,Bensin (Hybrid),från 269 900,nej
Toyota,Toyota Yaris Cross,Bensin (Hybrid),från 329 900,nej
Volkswagen,Volkswagen Arteon,Bensin,~400 000 – 500 000,ja
Volkswagen,Volkswagen Caddy,Diesel,~300 000 – 400 000,ja
Volkswagen,Volkswagen Golf,"Bensin, Diesel, Laddhybrid",319 900 – 369 700,nej
Volkswagen,Volkswagen Golf GTE,"Bensin, Laddhybrid",~400 000 – 500 000,ja
Volkswagen,Volkswagen Golf GTI,Bensin,~400 000 – 500 000,ja
Volkswagen,Volkswagen Golf R,Bensin,~500 000 – 600 000,ja
Volkswagen,Volkswagen ID. Buzz,El,~600 000 – 700 000,ja
Volkswagen,Volkswagen ID.3,El,från 409 900,nej
Volkswagen,Volkswagen ID.4,El,~500 000 – 600 000,ja
Volkswagen,Volkswagen ID.5,El,~500 000 – 600 000,ja
Volkswagen,Volkswagen ID.7,El,från 623 000,nej
Volkswagen,Volkswagen ID.7 Tourer,El,från ~665 900,ja
Volkswagen,Volkswagen Multivan,"Bensin, Laddhybrid",~500 000 – 600 000,ja
Volkswagen,Volkswagen Passat Variant,"Bensin, Diesel, Laddhybrid",~400 000 – 500 000,ja
Volkswagen,Volkswagen Polo,Bensin,~200 000 – 300 000,ja
Volkswagen,Volkswagen T-Cross,Bensin,~250 000 – 300 000,ja
Volkswagen,Volkswagen T-Roc,Bensin,~300 000 – 400 000,ja
Volkswagen,Volkswagen T-Roc Cabriolet,Bensin,~300 000 – 400 000,ja
Volkswagen,Volkswagen Taigo,Bensin,~250 000 – 300 000,ja
Volkswagen,Volkswagen Tayron,"Bensin, Laddhybrid",~400 000 – 500 000,ja
Volkswagen,Volkswagen Tiguan,"Bensin, Diesel, Laddhybrid",~350 000 – 450 000,ja
Volkswagen,Volkswagen Touareg,"Bensin, Laddhybrid",~700 000 – 900 000,ja
Volkswagen,Volkswagen Touran,Bensin,~300 000 – 400 000,ja
Volkswagen,Volkswagen Transporter,Diesel,~400 000 – 500 000,ja
Volvo,Volvo EC40,El,~469 900 – 599 000,ja
Volvo,Volvo ES90,El,~700 000 – 800 000,ja
Volvo,Volvo EX30,El,419 900 – 615 100,nej
Volvo,Volvo EX30 Cross Country,El,~450 000 – 550 000,ja
Volvo,Volvo EX40,El,459 900 – 599 000,nej
Volvo,Volvo EX60,El,~500 000 – 600 000,ja
Volvo,Volvo EX90,El,från 1 027 900,nej
Volvo,Volvo S60,"Bensin (MHEV), Laddhybrid",från 434 900,nej
Volvo,Volvo S90,"Bensin (MHEV), Laddhybrid",från 569 900,nej
Volvo,Volvo V40,Bensin,~250 000 – 300 000,ja
Volvo,Volvo V40 Cross Country,Bensin,~250 000 – 300 000,ja
Volvo,Volvo V60,"Bensin (MHEV), Diesel (MHEV), Laddhybrid",från 449 900,nej
Volvo,Volvo V60 Cross Country,"Bensin (MHEV), Laddhybrid",från 519 900,nej
Volvo,Volvo V70,Diesel,~300 000 – 400 000,ja
Volvo,Volvo V90,"Bensin (MHEV), Laddhybrid",från 549 900,nej
Volvo,Volvo V90 Cross Country,"Bensin (MHEV), Diesel (MHEV)",från 619 900,nej
Volvo,Volvo XC40,Bensin (MHEV),414 900 – 525 600,nej
Volvo,Volvo XC40 Recharge,El,~500 000 – 600 000,ja
Volvo,Volvo XC60,"Bensin (MHEV), Diesel (MHEV), Laddhybrid",539 900 – 739 000,nej
Volvo,Volvo XC70,"Bensin, Laddhybrid",~500 000 – 600 000,ja
Volvo,Volvo XC90,"Bensin (MHEV), Laddhybrid",från 1 059 500,nej
Xpeng,Xpeng G6,El,~500 000 – 600 000,ja
